Config            , Feature             , Best_Params                                                   , R2                  , MAE                   , RMSE                  , MPE
Spectral + EC     , p1.EC.ds_m          , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}" , 0.9691034001162281  ,   0.005725599730314709,   0.05878550455661421 , -0.227500268384206
Spectral + EC     , p1.Sand.wt_pct      , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}" , 0.31274779736467007 ,   3.552460740310207   ,   5.190959537289236   , -12.974111774574768
Spectral + EC     , p2.N.wt_pct         , "{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}" , 0.8092500718091649  ,   0.10187778377053218 ,   0.16674977602564386 , -inf
Spectral + EC     , p2.OC.wt_pct        , "{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}" , 0.8075315116340901  ,   1.769803644762019   ,   3.514752365488608   , -57.94994263935494
Spectral + EC     , p3.K.mg_kg          , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}", 0.12954465965640083 , 220.98890347704582    , 378.09438717592246    , -inf
Spectral + EC     , p3.P.mg_kg          , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.1595127012328822  ,  19.390255191313134   ,  32.58623560199878    , -inf
Spectral + EC     , p4.CF.wt_pct        , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}" , 0.023724759488809588,  11.208299332200664   ,  14.21883680751553    , -inf
Spectral + pH + EC, p1.pH.index         , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.9998907893945415  ,   0.005815714977306974,   0.014268182568358425, -0.008422130897002496
Spectral + pH + EC, p1.EC.ds_m          , "{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}" , 0.9644327478512751  ,   0.005181263206702659,   0.06034607249912378 , -0.2577041652603353
Spectral + pH + EC, p1.Sand.wt_pct      , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 50}" , 0.33369903023567704 ,   3.3851570057641016  ,   5.153103497027628   , -12.943663785854756
Spectral + pH + EC, p2.N.wt_pct         , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.8343798259446882  ,   0.09501630041382211 ,   0.16026417979855584 , -inf
Spectral + pH + EC, p2.OC.wt_pct        , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.8644007445001777  ,   1.4935922711929248  ,   2.9358464530582875  , -43.432939844312735
Spectral + pH + EC, p3.K.mg_kg          , "{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}", 0.20967632994716112 , 204.36628755425718    , 363.60503523738845    , -69.12688258076433
Spectral + pH + EC, p3.P.mg_kg          , "{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}", 0.1799753068171832  ,  18.897889925226327   ,  32.187117167531646   , 
Spectral + pH + EC, p4.CF.wt_pct        , "{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200}", 0.0647617733456003  ,  10.985196380377968   ,  13.916789458275426   , -inf
