Config            , Feature             , Best_Params                                                                                                     , R2                  , MAE                   , RMSE                   , MPE
Spectral + pH     , p4.BD.g_cm3         , "{'n_estimators': 271, 'max_depth': 15, 'min_samples_split': 17, 'min_samples_leaf': 4, 'max_features': 1.0}"   , 0.3686291586627415  , 0.16006377648660797   ,   0.2086252911869644   , -3.494446479956807
Spectral + pH     , p4.CEC.cmolc_kg     , "{'n_estimators': 129, 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': 'log2'}", 0.4784119718747474  , 6.618999805864589     ,  10.212264622034379    , -64.59720724579
Spectral + pH     , p4.CF.wt_pct        , "{'n_estimators': 94, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 19, 'max_features': 1.0}"   , 0.08650822317292473 , 8.760507084624601     ,  11.433206027913936    , -inf
Spectral + pH     , p4.WR_10kPa.wt_pct  , "{'n_estimators': 192, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt'}" , 0.18176632358784084 , 8.808957377371854     ,  11.5258771220106      , -18.401316569269653
Spectral + pH     , p4.WR_1500kPa.wt_pct, "{'n_estimators': 97, 'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 1.0}"     , 0.22762242126852794 , 7.558326043762336     ,   9.398136639253648    , -59.83893832939078
Spectral + pH     , p4.WR_33kPa.wt_pct  , "{'n_estimators': 229, 'max_depth': 12, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt'}", 0.11147528598988943 , 9.18346452661815      ,  12.061181372206343    , -28.09827842273109
Spectral + EC     , p1.pH.index         , "{'n_estimators': 155, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 1.0}"    , 0.5824867515453949  , 0.7065558844555365    ,   0.8822087903760781   , -2.5969438167042282
Spectral + EC     , p1.EC.ds_m          , "{'n_estimators': 60, 'max_depth': 16, 'min_samples_split': 18, 'min_samples_leaf': 4, 'max_features': 1.0}"    , 0.9997299419743578  , 0.00045767052014462   ,   0.005495958565485876 , -0.09444368140729675
Spectral + EC     , p1.Sand.wt_pct      , "{'n_estimators': 134, 'max_depth': 16, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 1.0}"    , 0.3584900351740161  , 3.439420804103999     ,   5.015234874921812    , -11.568553799500659
Spectral + EC     , p2.N.wt_pct         , "{'n_estimators': 76, 'max_depth': 17, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 1.0}"     , 0.8105911339577223  , 0.1008431345014227    ,   0.16616257726618083  , -inf
Spectral + EC     , p2.OC.wt_pct        , "{'n_estimators': 122, 'max_depth': 13, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 1.0}"   , 0.8081157594574163  , 1.764205173532265     ,   3.509413706750984    , -57.77685573017026
Spectral + EC     , p3.K.mg_kg          , "{'n_estimators': 188, 'max_depth': 20, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'log2'}", 0.16361307986445195 , 213.90763940424696    , 370.62149152231467     , -inf
Spectral + EC     , p3.P.mg_kg          , "{'n_estimators': 169, 'max_depth': 20, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'log2'}" , 0.14828134464490117 , 19.59337077751285     ,  32.803236542423726    , -inf
Spectral + EC     , p4.CF.wt_pct        , "{'n_estimators': 141, 'max_depth': 9, 'min_samples_split': 20, 'min_samples_leaf': 18, 'max_features': 'sqrt'}", 0.032944692818653865, 11.20143123557563     ,  14.15153625987888     , -inf
Spectral + pH + EC, p1.pH.index         , "{'n_estimators': 210, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 1.0}"    , 0.999999066431572   , 0.00010385994352151845,   0.0013191960077106176, 0.00038377424273168423
Spectral + pH + EC, p1.EC.ds_m          , "{'n_estimators': 224, 'max_depth': 9, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 1.0}"     , 0.9997555921773389  , 0.00037769395981530104,   0.005002434424737104 , -0.003399539215293899
Spectral + pH + EC, p1.Sand.wt_pct      , "{'n_estimators': 262, 'max_depth': 16, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 1.0}"    , 0.38380649695181246 , 3.2575936824693885    ,   4.955553850958606    , -11.382735335079428
Spectral + pH + EC, p2.N.wt_pct         , "{'n_estimators': 117, 'max_depth': 17, 'min_samples_split': 17, 'min_samples_leaf': 1, 'max_features': 1.0}"   , 0.8349756875119646  , 0.09476987510377743   ,   0.15997562403230411  , -inf
Spectral + pH + EC, p2.OC.wt_pct        , "{'n_estimators': 300, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 1.0}"    , 0.8658320688441358  , 1.4804018185383228    ,   2.920310614047754    , -43.361119528417525
Spectral + pH + EC, p3.K.mg_kg          , "{'n_estimators': 76, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 1.0}"     , 0.23614430688497412 , 202.828150333592      , 357.46461179159155     , -68.23051605146438
Spectral + pH + EC, p3.P.mg_kg          , "{'n_estimators': 243, 'max_depth': 20, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 1.0}"  , 0.17660617545553225 , 19.147774743981277    ,  32.25317095158912     , -inf
Spectral + pH + EC, p4.CF.wt_pct        , "{'n_estimators': 119, 'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 7, 'max_features': 'sqrt'}", 0.08876044400817429 , 10.840473105108321    ,  13.737073249717875    , -inf
